age,monthly_income,daily_internet_hours,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,gender,city_tier,shopping_preference,Is_Online,processed_at
41,116164,8.0,5,46,8,23909,42179,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
20,238457,5.4,1,33,4,68110,67109,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
39,239174,8.5,1,8,14,10025,127299,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
70,156774,7.8,9,25,5,38287,3848,Other,Tier 3,Online,1,2026-03-05 14:19:15.683837
19,121732,5.0,4,7,15,46394,22500,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
41,30385,4.8,3,18,10,119035,18547,Other,Tier 2,Store,0,2026-03-05 14:19:15.683837
61,24336,5.7,5,25,8,44546,41489,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
47,80421,3.9,7,45,11,10716,25969,Male,Tier 2,Store,0,2026-03-05 14:19:15.683837
55,177297,5.4,7,9,7,132880,135540,Other,Tier 1,Store,0,2026-03-05 14:19:15.683837
19,51021,7.0,5,42,16,66778,89620,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
77,149854,8.1,8,29,11,31420,31294,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
38,234949,5.2,5,39,0,65173,45371,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
50,132369,8.8,10,35,7,10737,31314,Male,Tier 1,Online,1,2026-03-05 14:19:15.683837
29,235702,7.3,4,30,0,13603,52812,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
75,64111,7.4,6,7,12,48524,1669,Female,Tier 1,Online,1,2026-03-05 14:19:15.683837
39,104402,4.2,3,41,4,112987,126335,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
78,134774,9.6,4,46,19,82204,119167,Male,Tier 2,Store,0,2026-03-05 14:19:15.683837
61,230657,7.1,8,12,4,35393,74710,Other,Tier 2,Store,0,2026-03-05 14:19:15.683837
42,57719,5.3,10,36,7,30975,72627,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
66,242600,5.0,10,29,10,108742,123073,Female,Tier 3,Store,0,2026-03-05 14:19:15.683837
44,195109,5.4,3,14,19,129743,128262,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
76,226175,4.0,10,34,7,7720,121589,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
59,140695,8.0,3,2,9,134176,148247,Other,Tier 1,Store,0,2026-03-05 14:19:15.683837
45,149585,4.2,6,28,4,28170,36288,Male,Tier 1,Store,0,2026-03-05 14:19:15.683837
77,159407,6.6,8,23,19,73135,125311,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
33,190212,5.1,10,44,2,9795,144291,Male,Tier 1,Store,0,2026-03-05 14:19:15.683837
32,119126,7.3,2,22,4,68655,62518,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
79,226445,7.6,1,8,14,114331,37757,Other,Tier 1,Store,0,2026-03-05 14:19:15.683837
79,92658,4.7,10,1,13,13016,22135,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
64,180912,5.9,1,14,4,31116,55921,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
79,46007,3.1,7,31,1,126467,56756,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
68,203019,9.4,2,17,6,126412,15024,Female,Tier 2,Hybrid,0,2026-03-05 14:19:15.683837
61,121833,8.1,9,28,6,139574,106040,Male,Tier 2,Store,0,2026-03-05 14:19:15.683837
72,133637,3.2,10,39,13,74782,66488,Other,Tier 1,Store,0,2026-03-05 14:19:15.683837
69,135721,4.3,4,2,14,108383,117518,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
74,108220,5.7,7,32,16,45068,102512,Other,Tier 1,Store,0,2026-03-05 14:19:15.683837
20,41393,6.1,5,6,8,5913,42042,Other,Tier 1,Store,0,2026-03-05 14:19:15.683837
54,72480,4.6,5,29,3,52392,93220,Other,Tier 1,Store,0,2026-03-05 14:19:15.683837
68,132243,3.7,7,26,15,133331,123696,Male,Tier 2,Store,0,2026-03-05 14:19:15.683837
24,103290,6.8,9,37,13,33872,73035,Other,Tier 2,Store,0,2026-03-05 14:19:15.683837
38,232407,9.5,4,28,0,52668,123722,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
26,119263,6.1,9,30,1,23421,955,Other,Tier 3,Online,1,2026-03-05 14:19:15.683837
56,155179,5.4,9,0,12,52138,79761,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
35,20993,5.2,8,40,7,24961,12163,Male,Tier 1,Online,1,2026-03-05 14:19:15.683837
21,242413,3.8,1,42,8,112610,37711,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
42,108650,4.7,10,26,9,103258,140980,Other,Tier 2,Store,0,2026-03-05 14:19:15.683837
77,249397,8.3,9,26,19,10552,143281,Female,Tier 3,Store,0,2026-03-05 14:19:15.683837
31,132595,1.9,3,28,9,70970,20249,Male,Tier 1,Store,0,2026-03-05 14:19:15.683837
67,67066,6.1,8,4,15,131931,84210,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
75,126850,6.1,5,2,8,63618,6736,Male,Tier 1,Store,0,2026-03-05 14:19:15.683837
26,57942,6.2,6,28,5,42865,74798,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
43,31138,7.5,3,40,11,20700,93830,Other,Tier 2,Store,0,2026-03-05 14:19:15.683837
70,133558,6.1,7,38,16,112780,45820,Other,Tier 1,Store,0,2026-03-05 14:19:15.683837
19,190599,5.1,2,12,9,45262,75090,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
37,24190,4.7,3,32,10,95314,64682,Female,Tier 3,Store,0,2026-03-05 14:19:15.683837
45,107259,8.6,2,19,8,121443,2632,Female,Tier 3,Online,1,2026-03-05 14:19:15.683837
64,93422,8.1,9,2,17,12681,73056,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
77,201770,11.8,3,5,2,14174,80428,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
24,97315,5.4,8,42,4,81080,1415,Male,Tier 2,Online,1,2026-03-05 14:19:15.683837
61,239782,4.7,6,16,4,40995,33647,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
78,44086,6.9,1,46,4,85145,53410,Other,Tier 2,Store,0,2026-03-05 14:19:15.683837
25,163394,6.9,6,3,10,115514,107200,Male,Tier 1,Store,0,2026-03-05 14:19:15.683837
64,140604,7.3,8,32,3,25654,113813,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
52,115814,7.7,10,32,4,46668,53060,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
31,134324,7.3,3,5,18,53741,92824,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
34,229641,8.2,7,40,10,127570,40905,Male,Tier 2,Store,0,2026-03-05 14:19:15.683837
53,231682,8.4,6,13,11,6497,6128,Male,Tier 3,Online,1,2026-03-05 14:19:15.683837
67,143921,8.5,1,45,16,98084,69949,Female,Tier 3,Store,0,2026-03-05 14:19:15.683837
57,18435,1.5,2,6,14,42909,146654,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
21,116505,6.5,5,5,1,127783,33220,Female,Tier 3,Store,0,2026-03-05 14:19:15.683837
19,68331,4.2,7,2,0,46694,136414,Female,Tier 3,Store,0,2026-03-05 14:19:15.683837
79,175014,8.1,4,36,5,39103,143083,Male,Tier 1,Store,0,2026-03-05 14:19:15.683837
23,205707,1.4,6,21,0,99870,77294,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
71,175131,8.9,2,37,14,75058,101241,Other,Tier 1,Store,0,2026-03-05 14:19:15.683837
59,203629,4.3,5,7,1,116877,85088,Male,Tier 2,Store,0,2026-03-05 14:19:15.683837
21,128457,3.8,10,23,7,60914,86637,Male,Tier 2,Store,0,2026-03-05 14:19:15.683837
71,67389,6.7,3,12,15,108663,12756,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
46,68014,5.3,1,12,15,100090,14593,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
35,178898,9.6,6,0,15,134009,122334,Male,Tier 1,Store,0,2026-03-05 14:19:15.683837
43,45297,8.7,9,40,19,133533,51599,Other,Tier 2,Store,0,2026-03-05 14:19:15.683837
61,58890,5.0,10,35,18,54175,15079,Male,Tier 1,Hybrid,0,2026-03-05 14:19:15.683837
51,36322,8.1,8,31,1,89984,1755,Male,Tier 1,Online,1,2026-03-05 14:19:15.683837
27,50739,4.9,4,4,19,96448,40057,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
79,155791,4.9,8,48,13,88080,131816,Male,Tier 2,Store,0,2026-03-05 14:19:15.683837
53,94553,7.4,5,6,1,111721,12894,Male,Tier 3,Online,1,2026-03-05 14:19:15.683837
31,23314,8.9,3,49,18,12272,95966,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
48,108831,5.1,4,44,1,132569,27317,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
65,90164,5.3,7,31,17,90211,118307,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
32,122658,6.6,5,27,16,31685,132793,Male,Tier 2,Store,0,2026-03-05 14:19:15.683837
25,92028,4.2,4,32,18,65991,51025,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
31,51113,9.1,3,45,13,147375,78112,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
40,132174,4.2,3,13,16,130017,1691,Male,Tier 2,Online,1,2026-03-05 14:19:15.683837
77,161429,4.7,10,12,15,78190,20030,Male,Tier 1,Store,0,2026-03-05 14:19:15.683837
74,244937,9.5,6,28,18,127092,79753,Other,Tier 2,Store,0,2026-03-05 14:19:15.683837
79,35365,6.4,8,49,16,48155,140662,Female,Tier 3,Store,0,2026-03-05 14:19:15.683837
57,54029,9.9,4,39,11,141672,134032,Male,Tier 2,Store,0,2026-03-05 14:19:15.683837
38,16737,5.6,1,0,3,33852,33315,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
33,146042,11.0,4,46,7,5641,40673,Male,Tier 2,Store,0,2026-03-05 14:19:15.683837
62,220704,7.2,5,48,0,117780,144379,Other,Tier 1,Store,0,2026-03-05 14:19:15.683837
35,100474,4.5,8,48,13,87037,17572,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
64,93218,4.5,7,26,8,78000,97914,Male,Tier 1,Store,0,2026-03-05 14:19:15.683837
70,173571,3.1,2,29,17,133230,128907,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
41,143692,3.3,9,33,11,73094,91378,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
43,192229,4.7,3,45,1,37559,29767,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
42,202319,4.0,9,0,5,133247,126515,Other,Tier 2,Store,0,2026-03-05 14:19:15.683837
77,143411,1.0,1,33,4,20371,45220,Other,Tier 2,Store,0,2026-03-05 14:19:15.683837
77,187106,7.7,9,6,17,57614,75449,Male,Tier 1,Store,0,2026-03-05 14:19:15.683837
77,15294,7.6,7,0,13,63404,86376,Male,Tier 1,Store,0,2026-03-05 14:19:15.683837
62,244144,6.6,2,41,14,111401,132192,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
58,39596,3.7,10,17,12,20920,123720,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
46,113185,9.3,7,34,8,78438,14175,Other,Tier 3,Online,1,2026-03-05 14:19:15.683837
32,26434,5.6,1,49,18,52711,92060,Male,Tier 1,Store,0,2026-03-05 14:19:15.683837
62,73382,4.3,3,18,0,53242,76108,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
18,53098,6.5,7,12,7,124737,50307,Male,Tier 2,Store,0,2026-03-05 14:19:15.683837
42,19655,6.4,3,22,15,73916,25764,Male,Tier 1,Store,0,2026-03-05 14:19:15.683837
24,98029,1.0,2,1,6,83480,30866,Other,Tier 1,Store,0,2026-03-05 14:19:15.683837
26,61228,5.9,5,2,15,144764,70719,Male,Tier 2,Store,0,2026-03-05 14:19:15.683837
41,18771,6.2,3,21,12,100216,127455,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
18,89099,5.2,9,35,12,52391,51551,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
61,135811,3.4,7,48,19,113169,80385,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
25,202871,3.4,1,7,18,110255,83619,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
41,77257,7.0,1,22,10,59559,20771,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
28,32558,7.5,6,7,15,43151,80138,Female,Tier 3,Store,0,2026-03-05 14:19:15.683837
68,245540,5.1,4,24,8,50494,17187,Male,Tier 2,Store,0,2026-03-05 14:19:15.683837
34,73436,6.8,1,34,12,134725,106660,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
25,122779,5.1,9,46,18,145382,145371,Other,Tier 1,Store,0,2026-03-05 14:19:15.683837
52,139891,4.3,2,10,9,1164,86326,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
52,238175,6.4,1,40,6,80641,99481,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
50,47376,3.7,3,42,16,70398,58088,Female,Tier 3,Store,0,2026-03-05 14:19:15.683837
76,233530,9.8,10,5,9,113422,96655,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
22,92924,3.1,1,41,1,27127,117933,Other,Tier 1,Store,0,2026-03-05 14:19:15.683837
59,44332,6.6,4,41,17,52646,124644,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
56,146001,6.3,4,49,15,44124,33055,Male,Tier 1,Store,0,2026-03-05 14:19:15.683837
75,61737,6.1,6,44,2,118683,2722,Other,Tier 3,Online,1,2026-03-05 14:19:15.683837
58,145912,9.0,3,16,19,111162,97224,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
45,104031,1.0,9,35,0,75525,138233,Male,Tier 1,Store,0,2026-03-05 14:19:15.683837
24,220042,6.8,6,17,4,79855,23037,Other,Tier 2,Online,1,2026-03-05 14:19:15.683837
26,198024,5.5,7,32,0,33221,134171,Female,Tier 3,Store,0,2026-03-05 14:19:15.683837
25,35991,7.2,6,17,6,56962,128001,Other,Tier 1,Store,0,2026-03-05 14:19:15.683837
29,42472,6.1,9,6,17,121471,29468,Male,Tier 1,Store,0,2026-03-05 14:19:15.683837
51,74946,5.8,2,28,3,56598,8583,Male,Tier 2,Online,1,2026-03-05 14:19:15.683837
50,172921,3.6,8,4,8,25623,145703,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
65,16541,4.7,5,15,0,71397,57597,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
72,144237,12.0,2,30,0,121727,842,Female,Tier 1,Online,1,2026-03-05 14:19:15.683837
40,17765,7.2,7,4,5,136835,105188,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
79,58074,8.1,5,9,16,128495,141662,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
41,117795,5.3,8,28,15,94879,51247,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
54,175355,4.3,10,28,18,58775,134000,Male,Tier 2,Store,0,2026-03-05 14:19:15.683837
52,116387,7.6,6,15,3,116654,116434,Female,Tier 3,Store,0,2026-03-05 14:19:15.683837
61,246233,2.2,7,3,9,67473,30057,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
57,146841,4.7,1,0,15,56835,13305,Male,Tier 2,Store,0,2026-03-05 14:19:15.683837
39,163878,5.3,2,7,6,105572,99427,Other,Tier 1,Store,0,2026-03-05 14:19:15.683837
44,236590,7.9,9,27,1,50247,134415,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
52,17972,6.8,7,0,19,79356,124577,Male,Tier 1,Store,0,2026-03-05 14:19:15.683837
18,164328,5.1,7,27,6,29217,64748,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
52,118903,6.7,4,2,6,111992,56674,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
54,164725,5.4,4,49,4,6354,138194,Other,Tier 2,Store,0,2026-03-05 14:19:15.683837
64,118579,8.1,3,1,14,108233,68093,Male,Tier 2,Store,0,2026-03-05 14:19:15.683837
31,232741,6.5,10,24,18,13621,47737,Other,Tier 2,Store,0,2026-03-05 14:19:15.683837
20,54339,9.5,4,36,9,1133,120673,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
18,171829,5.4,10,10,4,83941,98631,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
22,118376,8.5,6,45,4,92077,116900,Other,Tier 1,Store,0,2026-03-05 14:19:15.683837
43,57399,6.2,3,17,17,85814,75100,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
72,59013,4.6,10,41,3,89406,99464,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
31,243677,11.2,8,38,13,17469,135555,Female,Tier 3,Store,0,2026-03-05 14:19:15.683837
56,160778,8.6,1,39,17,80296,3724,Male,Tier 2,Online,1,2026-03-05 14:19:15.683837
44,184303,6.5,6,19,8,104486,129118,Male,Tier 1,Store,0,2026-03-05 14:19:15.683837
26,42909,7.5,2,16,16,66464,42645,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
32,222703,3.8,1,6,11,132677,117563,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
32,203644,3.9,4,47,17,93610,94636,Female,Tier 3,Store,0,2026-03-05 14:19:15.683837
43,231951,8.2,6,16,15,27477,28490,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
59,209839,6.0,7,3,2,68687,146503,Other,Tier 2,Store,0,2026-03-05 14:19:15.683837
77,172541,5.7,1,35,18,92082,115759,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
30,147385,5.4,3,29,9,33951,109717,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
68,153919,6.3,6,0,19,102658,134419,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
49,196294,5.5,6,34,6,16239,51114,Female,Tier 3,Store,0,2026-03-05 14:19:15.683837
56,220774,1.9,10,11,0,81110,50960,Male,Tier 2,Store,0,2026-03-05 14:19:15.683837
66,156002,8.8,6,16,0,75652,135566,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
69,18285,5.8,7,15,14,110041,114112,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
78,138637,9.7,7,27,0,24638,5233,Male,Tier 1,Online,1,2026-03-05 14:19:15.683837
49,50863,2.5,10,31,8,56208,111844,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
21,162776,2.5,8,45,13,25831,119113,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
47,164777,5.4,2,34,12,122359,94010,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
54,146627,8.0,10,18,18,78537,23504,Male,Tier 2,Store,0,2026-03-05 14:19:15.683837
40,36323,3.6,1,28,15,41448,5103,Male,Tier 1,Hybrid,0,2026-03-05 14:19:15.683837
56,85968,3.5,10,28,16,59910,41333,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
62,212994,6.7,7,15,8,116934,108180,Female,Tier 3,Store,0,2026-03-05 14:19:15.683837
32,68915,5.4,1,3,13,78818,96001,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
60,124543,7.1,2,20,2,21340,60841,Other,Tier 2,Store,0,2026-03-05 14:19:15.683837
46,156691,5.4,1,48,8,92800,93812,Female,Tier 3,Store,0,2026-03-05 14:19:15.683837
53,218462,6.8,1,43,19,72635,130427,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
30,123500,8.7,3,0,0,81535,118800,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
49,205346,3.6,4,18,4,59280,62788,Female,Tier 3,Store,0,2026-03-05 14:19:15.683837
24,219245,8.4,5,43,5,74441,127310,Male,Tier 1,Store,0,2026-03-05 14:19:15.683837
76,167297,2.6,5,25,19,116497,149024,Male,Tier 1,Store,0,2026-03-05 14:19:15.683837
68,126266,7.2,2,11,13,6513,147067,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
39,41739,8.8,3,16,9,148567,17768,Other,Tier 2,Hybrid,0,2026-03-05 14:19:15.683837
45,193780,5.0,8,36,7,81143,72313,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
19,143041,7.3,2,27,14,107435,21414,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
59,68019,5.0,4,35,0,76716,101646,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
62,222226,7.2,7,28,15,58708,120987,Other,Tier 2,Store,0,2026-03-05 14:19:15.683837
79,248169,1.5,9,4,19,127600,97844,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
74,22373,6.3,3,37,6,22706,139268,Other,Tier 2,Store,0,2026-03-05 14:19:15.683837
70,181353,6.8,3,2,0,36095,50286,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
23,35187,8.7,7,14,4,13955,58226,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
45,82863,7.9,8,2,9,27183,83886,Male,Tier 2,Store,0,2026-03-05 14:19:15.683837
45,112927,5.7,4,12,4,40662,92543,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
61,99085,6.5,1,4,7,113980,75515,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
61,132996,3.1,5,20,5,105078,35686,Male,Tier 1,Store,0,2026-03-05 14:19:15.683837
37,54220,9.3,4,40,9,5799,132034,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
47,145503,7.4,8,22,13,25603,3961,Female,Tier 3,Online,1,2026-03-05 14:19:15.683837
79,22642,2.3,7,46,7,38875,61678,Female,Tier 3,Store,0,2026-03-05 14:19:15.683837
28,94971,6.5,2,21,5,74950,41811,Other,Tier 2,Store,0,2026-03-05 14:19:15.683837
75,70556,6.6,6,33,8,92094,143843,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
72,179832,4.5,4,40,14,129753,118814,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
45,53192,6.2,7,25,15,108193,19054,Male,Tier 3,Online,1,2026-03-05 14:19:15.683837
42,150453,4.3,9,46,0,22442,46972,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
56,242655,3.2,7,30,13,119240,140317,Male,Tier 1,Store,0,2026-03-05 14:19:15.683837
79,165630,4.8,2,34,19,93771,10528,Other,Tier 1,Store,0,2026-03-05 14:19:15.683837
50,45782,6.3,8,6,17,125421,82970,Other,Tier 1,Store,0,2026-03-05 14:19:15.683837
18,19782,7.9,6,39,6,114153,12853,Female,Tier 2,Online,1,2026-03-05 14:19:15.683837
74,237489,6.1,9,44,11,36109,53701,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
44,200784,7.9,7,31,9,113942,54960,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
79,241017,7.3,5,21,14,962,44697,Other,Tier 2,Store,0,2026-03-05 14:19:15.683837
74,165534,3.9,8,46,6,112514,147326,Other,Tier 2,Store,0,2026-03-05 14:19:15.683837
69,75030,7.3,7,5,4,60302,21238,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
30,214591,7.3,1,20,10,116539,35964,Female,Tier 3,Store,0,2026-03-05 14:19:15.683837
58,71411,9.5,5,44,2,44776,49248,Female,Tier 3,Store,0,2026-03-05 14:19:15.683837
20,201278,6.8,7,38,3,147586,50206,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
56,112469,3.5,10,48,10,4027,57290,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
23,61950,4.9,7,46,14,104183,52320,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
25,148595,2.3,3,36,14,982,48606,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
44,206998,7.0,5,26,16,12164,18010,Male,Tier 1,Hybrid,0,2026-03-05 14:19:15.683837
26,155749,9.3,8,9,10,145935,8481,Female,Tier 2,Online,1,2026-03-05 14:19:15.683837
79,221900,1.2,9,21,5,145849,28906,Other,Tier 1,Store,0,2026-03-05 14:19:15.683837
54,161161,9.4,9,43,6,69625,5469,Female,Tier 2,Online,1,2026-03-05 14:19:15.683837
50,150653,7.0,10,17,10,129396,31393,Other,Tier 2,Store,0,2026-03-05 14:19:15.683837
68,157979,3.8,5,3,4,27190,16374,Male,Tier 2,Hybrid,0,2026-03-05 14:19:15.683837
59,151681,6.5,2,44,0,146882,145372,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
61,197225,3.9,8,34,0,79943,102991,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
41,65539,6.9,7,37,12,140861,123191,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
32,190215,6.1,4,37,1,32321,78610,Male,Tier 1,Store,0,2026-03-05 14:19:15.683837
76,37936,6.7,5,35,17,80386,3081,Male,Tier 1,Online,1,2026-03-05 14:19:15.683837
71,65182,4.2,10,3,5,120141,54844,Male,Tier 2,Store,0,2026-03-05 14:19:15.683837
49,126259,4.5,10,44,13,48125,14994,Male,Tier 1,Online,1,2026-03-05 14:19:15.683837
49,245596,7.0,2,9,10,82395,100995,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
41,110042,5.0,9,31,4,146200,130326,Female,Tier 3,Store,0,2026-03-05 14:19:15.683837
58,28163,6.3,6,9,18,91020,115937,Female,Tier 2,Store,0,2026-03-05 14:19:15.683837
69,205830,6.9,9,42,12,52433,4713,Other,Tier 1,Online,1,2026-03-05 14:19:15.683837
66,192129,5.6,8,44,11,139176,10407,Female,Tier 2,Online,1,2026-03-05 14:19:15.683837
79,158609,8.3,1,9,8,35473,44498,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
66,37419,5.6,9,10,3,70062,137856,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
